"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26103","Marquette, MI",2548248,2510659,2595503,2677203,2681975,2754525,2804607,2835913,2768746,2929865,3171677,3073295,3029203,3092424,3061807,3188673,3088151,3091552
"26105","Mason, MI",838874,904590,890991,894066,869247,895322,897414,856001,836071,869471,871469,890508,927493,953733,967612,956916,983066,1021720
"26107","Mecosta, MI",912995,950145,978525,987036,1004427,1048684,1073952,1087665,1060193,1215461,1185187,1087413,1094172,1124955,1152893,1202562,1196951,1175082
"26109","Menominee, MI",663901,665826,670952,681221,699320,710777,693451,701740,659170,691042,669476,646502,623826,682305,663893,645666,685949,699327
"26111","Midland, MI",4562282,4714200,4487277,4707279,4204935,4268804,4337532,4206834,3949541,4085975,4135293,4226476,4125145,4713709,4889900,4682356,4882666,4917510
"26113","Missaukee, MI",251801,274848,274712,300318,316171,324915,341506,312383,309034,318910,331938,327440,320301,406341,333150,336450,371743,358710
"26115","Monroe, MI",5286383,5558051,5688872,5563599,5582429,5769537,5766034,5441289,5042536,5295498,5327496,5186490,5474331,5394770,5410633,5510337,5598240,5644944
"26117","Montcalm, MI",1589836,1683793,1648303,1643481,1636724,1519076,1444931,1352008,1315737,1394093,1409459,1475746,1397398,1379560,1477933,1457961,1547111,1594841
"26119","Montmorency, MI",238817,249771,253528,250667,248191,274970,252543,236235,224723,229634,235883,220623,237242,247792,253698,255254,264186,274225
"26121","Muskegon, MI",5299896,5409413,5391817,5420902,5473389,5515530,5465292,5331565,5083490,5251946,5327622,5489849,5649887,5802124,5915840,5897718,5922919,6004546
"26123","Newaygo, MI",1002213,1007584,1061371,1097477,1145197,1276018,1222447,1132377,1013926,1054189,1080737,1162129,1147973,1180035,1189506,1222990,1226650,1275064
