city_fips,st,place,p1980,p1990,p2000,p2010
1777005,Illinois,Urbana city,35978,36344,36395,41250
1777044,Illinois,Ursa village,454,506,595,626
1777148,Illinois,Valier village,729,708,662,669
1777187,Illinois,Valley City village,60,23,14,13
1705860,Illinois,Valley View,2112,,,
1777265,Illinois,Valmeyer village,898,897,608,1263
1777317,Illinois,Vandalia city,5338,6114,6975,7042
1777395,Illinois,Varna village,441,405,436,384
1777408,Illinois,Venedy village,147,158,137,138
1777460,Illinois,Venetian Village CDP,2817,3133,3082,2826
1777473,Illinois,Venice city,3480,3571,2528,1890
1777525,Illinois,Vergennes village,360,314,491,298
1705907,Illinois,Vermilion Heights,1448,,,
1777551,Illinois,Vermilion village,299,283,239,225
1777642,Illinois,Vermont village,885,806,792,667
1777694,Illinois,Vernon Hills village,9827,15319,20120,25113
1777681,Illinois,Vernon village,199,207,178,129
1777707,Illinois,Verona village,251,242,257,215
1777720,Illinois,Versailles village,513,480,567,478
1777811,Illinois,Victoria village,389,299,323,316
1777863,Illinois,Vienna city,1420,1446,1234,1434
1777941,Illinois,Villa Grove city,2707,2734,2553,2537
1777993,Illinois,Villa Park village,23185,22253,22075,21904
1778123,Illinois,Viola village,1144,964,956,955
1778149,Illinois,Virden city,3899,3635,3488,3425
1778175,Illinois,Virgil village,,,266,329
1778201,Illinois,Virginia city,1825,1767,1728,1611
1778227,Illinois,Volo village,,,180,2929
1778370,Illinois,Wadsworth village,1104,1826,3083,3815
1778383,Illinois,Waggoner village,277,221,245,266
1778604,Illinois,Walnut Hill village,223,133,109,108
1778526,Illinois,Walnut village,1513,1463,1461,1416
1778656,Illinois,Walshville village,106,44,89,64
1778708,Illinois,Waltonville village,414,396,422,434
1778721,Illinois,Wamac city,1665,1501,1378,1185
1778773,Illinois,Wapella village,768,608,651,558
1778851,Illinois,Warren village,1595,1550,1496,1428
1778916,Illinois,Warrensburg village,1372,1274,1289,1210
1778929,Illinois,Warrenville city,7519,11333,13363,13140
1778942,Illinois,Warsaw city,1842,1882,1793,1607
1779007,Illinois,Washburn village,1206,1075,1147,1155
1779033,Illinois,Washington city,10364,10099,10841,15134
1779085,Illinois,Washington Park village,8223,7431,5345,4196
1779124,Illinois,Wataga village,996,879,857,843
1779150,Illinois,Waterloo city,4646,5072,7614,9811
