name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Belville,North Carolina,1936,285,66,102,0,0,0,0,0,0,0,0
Belwood,North Carolina,950,962,631,613,0,0,0,0,0,0,0,0
Benson,North Carolina,3311,2923,2810,2792,2267,2355,2102,1837,1522,1123,800,384
Bermuda Run,North Carolina,1725,1431,0,0,0,0,0,0,0,0,0,0
Bessemer City,North Carolina,5340,5119,4698,4787,4991,4017,3961,3567,3739,2176,1529,1100
Bethania,North Carolina,328,354,0,0,0,0,0,0,0,0,0,0
Bethel,North Carolina,1577,1681,1842,1825,1514,1578,1402,1333,1149,817,469,457
Beulaville,North Carolina,1296,1067,933,1060,1156,1062,724,567,494,354,0,0
Biltmore Forest,North Carolina,1343,1440,1327,1499,1298,1004,657,476,313,0,173,71
Biscoe,North Carolina,1700,1700,1484,1334,1244,1053,1034,843,819,755,697,0
Black Creek,North Carolina,769,714,615,523,449,310,316,333,355,274,219,196
Black Mountain,North Carolina,7848,7511,5418,4083,3204,1313,1174,1042,737,531,311,209
Bladenboro,North Carolina,1750,1718,1821,1428,783,774,796,724,587,459,276,0
Blowing Rock,North Carolina,1241,1418,1257,1337,801,711,661,654,503,338,261,331
Boardman,North Carolina,157,202,0,0,0,0,0,0,158,828,796,604
Bogue,North Carolina,684,590,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes,North Carolina,5372,2972,1650,998,245,0,0,0,0,0,0,0
Boiling Springs,North Carolina,4647,3866,2445,2381,2284,1311,1145,613,672,0,0,0
Bolivia,North Carolina,143,148,228,252,185,201,215,203,156,199,0,0
Bolton,North Carolina,691,494,531,563,534,617,606,760,976,699,0,0
